task_key,task_value,metric,n_A_valid,n_B_valid,mean_A,mean_B,delta_B_minus_A,effect_size
task_following,following,following_mean_thw,3184,472,5.733961782037348,2.810747356949131,-2.923214425088217,-0.8736227993538169
task_following,following,following_min_thw,3184,472,3.114772738523819,1.5317275349161257,-1.5830452036076932,-0.8982390110405349
task_following,following,following_mean_front_distance,3184,472,21.73341265564363,21.58114087178868,-0.15227178385494966,-0.012540493008665653
task_following,following,following_min_front_distance,3184,472,15.71751815951125,15.087559616666729,-0.6299585428445216,-0.06200814265098809
task_following,following,following_front_closing_rate_mean,3184,472,6.0802385495602564,10.946154737306179,4.865916187745922,0.8842999879098955
task_following,following,following_front_closing_rate_p95,3184,472,10.214894140524171,15.184171287885176,4.969277147361005,0.8279676254555107
task_following,following,following_peak_decel,3184,472,1.8370985058496645,6.443433288817352,4.6063347829676875,2.5488228625298377
task_following,following,following_rms_jerk,3184,472,6.144909849639219,20.107425176451333,13.962515326812113,2.993524255418728
task_following,following,following_max_abs_jerk,3184,472,18.967118649713957,66.1400205295133,47.17290187979934,3.447147876224929
task_following,following,following_late_brake_score,3184,472,0.9894962564073496,6.099804027708943,5.110307771301594,1.4506392264637935
task_following,following,following_aggressiveness_score,3184,472,2.0730387634858625,6.794826486199109,4.7217877227132465,3.222297313729366
task_lead_brake_response,lead_brake_response,lead_brake_front_decel_start_time,2439,432,1.4956949569495694,1.0703703703703704,-0.425324586579199,-0.2544293519454782
task_lead_brake_response,lead_brake_response,lead_brake_ego_brake_start_time,2012,432,1.4959741550695829,1.1655092592592593,-0.33046489581032357,-0.15900981833107072
task_lead_brake_response,lead_brake_response,lead_brake_reaction_delay,853,221,2.3213364595545136,1.3968325791855205,-0.9245038803689931,-0.4648797660432756
task_lead_brake_response,lead_brake_response,lead_brake_min_ttc_after_lead_brake,2404,432,2.910827744299679,1.3277594761888463,-1.5830682681108328,-0.6404149908213823
task_lead_brake_response,lead_brake_response,lead_brake_min_thw_after_lead_brake,2439,432,3.0891160767688866,1.55569143484657,-1.5334246419223165,-0.8497251884492218
task_lead_brake_response,lead_brake_response,lead_brake_peak_decel_after_lead_brake,2439,432,1.5329741560284813,6.096899339952218,4.563925183923737,2.4101691699338166
task_lead_brake_response,lead_brake_response,lead_brake_max_jerk_after_lead_brake,2439,432,18.48532354875767,63.4625544404542,44.97723089169653,3.1961267939758957
task_lead_brake_response,lead_brake_response,lead_brake_speed_drop_after_lead_brake,2439,432,2.078418894414532,1.9246969677364154,-0.15372192667811646,-0.04262898783662117
task_lead_brake_response,lead_brake_response,lead_brake_late_response_score,2439,432,0.7484708311514778,1.2053249029019797,0.45685407175050186,0.5210542319229144
task_queue_approach,queue_approach,queue_distance_when_start_decel,2425,426,22.259142779910686,21.121150176290055,-1.1379926036206314,-0.09515014883066784
task_queue_approach,queue_approach,queue_time_to_stop,1459,51,2.528101439342015,2.6235294117647054,0.0954279724226903,0.03511846738573934
task_queue_approach,queue_approach,queue_final_front_gap,2863,431,20.37668547978403,19.147293639570268,-1.2293918402137614,-0.09810896220664375
task_queue_approach,queue_approach,queue_peak_decel,2863,431,1.845653232449189,6.19481234865786,4.3491591162086705,2.457155785280738
task_queue_approach,queue_approach,queue_rms_jerk,2863,431,6.0744658881861975,19.544899010397245,13.470433122211048,3.041143892084229
task_queue_approach,queue_approach,queue_stop_smoothness_score,2863,431,-3.960059560317693,-12.86985567952755,-8.909796119209858,-3.1716667761389883
task_queue_approach,queue_approach,queue_creep_after_stop_score,1459,51,0.43515415279831554,0.5794696594700842,0.14431550667176868,0.6021679486157782
task_queue_approach,queue_approach,queue_front_speed_min,2863,431,2.8806404322344368,6.781627606266958,3.900987174032521,0.8963006270071964
task_queue_approach,queue_approach,queue_front_speed_mean,2863,431,5.381132254986577,9.599459311370163,4.218327056383586,0.9146971593661813
