schema_version,report_id,result_id,parent_bdd_result_id,dimension_id,behavior_dimension,behavior_level,behavior_reference,target,contrast_label,task_id,evaluation_mode,n_pairs,n_scenarios,n_logs,representation_id,representation_baseline,statistic_name,null_reference,raw_mmd2,null_q95,bdd_to_null_q95_ratio,z_bdd,raw_p_value,corrected_p_value,detection_or_pass,semantic_metric,semantic_delta_target_minus_reference,semantic_95ci,semantic_direction,mapping_strength,evidence_status,provenance_path,shared_parent_bdd,interpretation,bandwidth,null_repetitions
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:A:dose50:LAT.LANE_CHANGE,stage7l_e:A:dose50:LAT.LANE_CHANGE,LAT.LANE_CHANGE,变道行为,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_dose50_57.0m,pure_lateral_execution_dose50_57.0m | pure_lateral_execution_gentle_dose0_60.0m,LAT.LANE_CHANGE,paired,80,80,79,A,old64_capability_baseline_not_raw_mmd2_reference,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0004166263701717,0.0015789149812648,0.2638687802163765,-0.6708685627856825,0.6996230037699623,1.0,False,lane_change_duration_s + rms_lateral_accel_mps2 + peak_yaw_rate_radps,duration -0.099988 s; RMS lateral accel +0.025780 m/s²; peak yaw rate +0.006682 rad/s,"duration [-0.10007214546203613, -0.09995794296264648]; RMS lateral accel [0.019872056127567955, 0.02770330130312243]; peak yaw rate [0.006246215379045239, 0.007003425600231594]",TARGET_SHORTER_DURATION_HIGHER_LATERAL_EXCITATION,DIRECT_PROSPECTIVE_TREATMENT,PROSPECTIVE_SECONDARY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",5.758697798757822,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:A:dose50:LAT.DYNAMICS,stage7l_e:A:dose50:LAT.DYNAMICS,LAT.DYNAMICS,横向动态,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_dose50_57.0m,pure_lateral_execution_dose50_57.0m | pure_lateral_execution_gentle_dose0_60.0m,LAT.DYNAMICS,paired,38,38,38,A,old64_capability_baseline_not_raw_mmd2_reference,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0008064606325611,0.0017999179402287,0.4480541109883664,-0.5624784001098788,0.5215147848521515,1.0,False,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,N/A,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,MIXED_PROXY,MIXED_PROXY,PROSPECTIVE_SECONDARY_LOW_N_MIXED_PROXY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",5.458926897146872,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:A:dose75:LAT.LANE_CHANGE,stage7l_e:A:dose75:LAT.LANE_CHANGE,LAT.LANE_CHANGE,变道行为,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_dose75_55.5m,pure_lateral_execution_dose75_55.5m | pure_lateral_execution_gentle_dose0_60.0m,LAT.LANE_CHANGE,paired,80,80,79,A,old64_capability_baseline_not_raw_mmd2_reference,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0011770704453261,0.0022852023773045,0.5150836779342421,0.4200420650695854,0.2343976560234397,1.0,False,lane_change_duration_s + rms_lateral_accel_mps2 + peak_yaw_rate_radps,duration -0.100261 s; RMS lateral accel +0.040193 m/s²; peak yaw rate +0.010392 rad/s,"duration [-0.19987726211547852, -0.10004329681396484]; RMS lateral accel [0.03201886052614203, 0.044641006383064785]; peak yaw rate [0.009696758871944766, 0.010788992974411826]",TARGET_SHORTER_DURATION_HIGHER_LATERAL_EXCITATION,DIRECT_PROSPECTIVE_TREATMENT,PROSPECTIVE_SECONDARY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",5.722018068872395,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:A:dose75:LAT.DYNAMICS,stage7l_e:A:dose75:LAT.DYNAMICS,LAT.DYNAMICS,横向动态,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_dose75_55.5m,pure_lateral_execution_dose75_55.5m | pure_lateral_execution_gentle_dose0_60.0m,LAT.DYNAMICS,paired,38,38,38,A,old64_capability_baseline_not_raw_mmd2_reference,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.004273031797232,0.0041366465280039,1.0329700080257944,1.7970405590834475,0.0253197468025319,0.7849121508784912,False,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,N/A,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,MIXED_PROXY,MIXED_PROXY,PROSPECTIVE_SECONDARY_LOW_N_MIXED_PROXY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",5.451397066346967,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:A:dose100:LAT.LANE_CHANGE,stage7l_e:A:dose100:LAT.LANE_CHANGE,LAT.LANE_CHANGE,变道行为,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_sharp_dose100_54.0m,pure_lateral_execution_sharp_dose100_54.0m | pure_lateral_execution_gentle_dose0_60.0m,LAT.LANE_CHANGE,paired,80,80,79,A,old64_capability_baseline_not_raw_mmd2_reference,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0008612104343808,0.0018737098031791,0.4596285043285111,-0.02142146563116,0.3781662183378166,1.0,False,lane_change_duration_s + rms_lateral_accel_mps2 + peak_yaw_rate_radps,duration -0.200160 s; RMS lateral accel +0.055832 m/s²; peak yaw rate +0.014404 rad/s,"duration [-0.20041489601135254, -0.19967222213745117]; RMS lateral accel [0.044970850180745814, 0.06286575735295391]; peak yaw rate [0.013368515271013237, 0.014992355302704041]",TARGET_SHORTER_DURATION_HIGHER_LATERAL_EXCITATION,DIRECT_PROSPECTIVE_TREATMENT,PROSPECTIVE_SECONDARY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",5.758231847269915,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:A:dose100:LAT.DYNAMICS,stage7l_e:A:dose100:LAT.DYNAMICS,LAT.DYNAMICS,横向动态,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_sharp_dose100_54.0m,pure_lateral_execution_sharp_dose100_54.0m | pure_lateral_execution_gentle_dose0_60.0m,LAT.DYNAMICS,paired,38,38,38,A,old64_capability_baseline_not_raw_mmd2_reference,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0049852992123017,0.0048514811654261,1.0275829261853568,2.0002717666188974,0.0330996690033099,0.9929900700992991,False,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,N/A,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,MIXED_PROXY,MIXED_PROXY,PROSPECTIVE_SECONDARY_LOW_N_MIXED_PROXY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",5.556265295938011,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:B:dose25:LAT.LANE_CHANGE,stage7l_e:B:dose25:LAT.LANE_CHANGE,LAT.LANE_CHANGE,变道行为,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_dose25_58.5m,pure_lateral_execution_dose25_58.5m | pure_lateral_execution_gentle_dose0_60.0m,LAT.LANE_CHANGE,paired,80,80,79,B,old64_capability_baseline_not_raw_mmd2_reference,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0002948612942247,0.0007941216782739,0.371304930077731,-0.9144400214187544,0.7720422795772043,1.0,False,lane_change_duration_s + rms_lateral_accel_mps2 + peak_yaw_rate_radps,duration -0.000083 s; RMS lateral accel +0.012297 m/s²; peak yaw rate +0.003151 rad/s,"duration [-0.09987497329711914, -1.52587890625e-05]; RMS lateral accel [0.009506915386798598, 0.013160766528221984]; peak yaw rate [0.002991675846029551, 0.0033159642409863466]",TARGET_SHORTER_DURATION_HIGHER_LATERAL_EXCITATION,DIRECT_PROSPECTIVE_TREATMENT,PROSPECTIVE_SECONDARY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",5.6230368499355485,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:B:dose25:LAT.DYNAMICS,stage7l_e:B:dose25:LAT.DYNAMICS,LAT.DYNAMICS,横向动态,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_dose25_58.5m,pure_lateral_execution_dose25_58.5m | pure_lateral_execution_gentle_dose0_60.0m,LAT.DYNAMICS,paired,38,38,38,B,old64_capability_baseline_not_raw_mmd2_reference,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0006755638637891,0.0006777906582717,0.9967146279527762,1.9190166031285476,0.0514994850051499,1.0,False,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,N/A,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,MIXED_PROXY,MIXED_PROXY,PROSPECTIVE_SECONDARY_LOW_N_MIXED_PROXY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",5.26290566968762,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:B:dose50:LAT.LANE_CHANGE,stage7l_e:B:dose50:LAT.LANE_CHANGE,LAT.LANE_CHANGE,变道行为,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_dose50_57.0m,pure_lateral_execution_dose50_57.0m | pure_lateral_execution_gentle_dose0_60.0m,LAT.LANE_CHANGE,paired,80,80,79,B,old64_capability_baseline_not_raw_mmd2_reference,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.000337967921915,0.0013219547112363,0.2556577158373107,-0.8177379222348887,0.7991820081799182,1.0,False,lane_change_duration_s + rms_lateral_accel_mps2 + peak_yaw_rate_radps,duration -0.099988 s; RMS lateral accel +0.025780 m/s²; peak yaw rate +0.006682 rad/s,"duration [-0.10007214546203613, -0.09995794296264648]; RMS lateral accel [0.019872056127567955, 0.02770330130312243]; peak yaw rate [0.006246215379045239, 0.007003425600231594]",TARGET_SHORTER_DURATION_HIGHER_LATERAL_EXCITATION,DIRECT_PROSPECTIVE_TREATMENT,PROSPECTIVE_SECONDARY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",5.632095540469541,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:B:dose50:LAT.DYNAMICS,stage7l_e:B:dose50:LAT.DYNAMICS,LAT.DYNAMICS,横向动态,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_dose50_57.0m,pure_lateral_execution_dose50_57.0m | pure_lateral_execution_gentle_dose0_60.0m,LAT.DYNAMICS,paired,38,38,38,B,old64_capability_baseline_not_raw_mmd2_reference,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0004689773755765,0.0015029606828114,0.3120356912459514,-1.094345969664666,0.8836311636883631,1.0,False,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,N/A,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,MIXED_PROXY,MIXED_PROXY,PROSPECTIVE_SECONDARY_LOW_N_MIXED_PROXY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",5.3236317501257,100000
