residual_family,development_fallback_id,pre_context_candidate_independent_units,matching_candidate_count,matched_pairs_or_sets,unmatched_count,mechanism_qualified_pairs,effective_cluster_count,f_match_calipers_json,caliper_rejection_reason,context_rejection_reason,matching_distance_used,status,development_feasibility_status
R-HLC,D4_DEVELOPMENT_BALANCE_FALLBACK_V1,80,0,0,80,0,0,"{""ego13.end_minus_start_speed"": 0.978755681, ""ego13.heading_change_abs_total"": 0.0492160141, ""ego13.mean_speed"": 0.708203939, ""ego13.path_length"": 5.38423459}",NOT_RUN_CONTEXT_MATCH_NOT_EVALUABLE,CONTEXT_MATCH_NOT_EVALUABLE: context.initial_lane_offset_m; context.initial_speed_mps; context.intended_lane_change_direction; context.neighbor_availability_pattern; context.road_class; context.target_lane_initial_front_gap_m; context.target_lane_initial_rear_gap_m; context.traffic_density,NONE; no legal matching was run,NOT_EVALUABLE,INSUFFICIENT_FOR_RBR_DEVELOPMENT
R-TSB,D4_DEVELOPMENT_BALANCE_FALLBACK_V1,183,0,0,183,0,0,"{""ego13.end_minus_start_speed"": 0.978755681, ""ego13.mean_abs_accel"": 0.11777666, ""ego13.mean_speed"": 0.708203939, ""ego13.path_length"": 5.38423459}",NOT_RUN_CONTEXT_MATCH_NOT_EVALUABLE,CONTEXT_MATCH_NOT_EVALUABLE: context.initial_front_gap_m; context.initial_lead_relative_speed_mps; context.initial_speed_mps; context.initial_thw_s; context.neighbor_availability_pattern; context.planned_stop_or_hazard_class; context.road_class; context.traffic_density,NONE; no legal matching was run,NOT_EVALUABLE,INSUFFICIENT_FOR_RBR_DEVELOPMENT
R-IP,D4_DEVELOPMENT_BALANCE_FALLBACK_V1,80,0,0,80,0,0,"{""ego13.end_minus_start_speed"": 0.978755681, ""ego13.mean_speed"": 0.708203939, ""ego13.path_length"": 5.38423459}",NOT_RUN_CONTEXT_MATCH_NOT_EVALUABLE,CONTEXT_MATCH_NOT_EVALUABLE: context.gap_opportunity_class; context.initial_speed_mps; context.intended_lane_change_direction; context.neighbor_availability_pattern; context.road_class; context.target_lane_initial_front_gap_m; context.target_lane_initial_rear_closing_speed_mps; context.target_lane_initial_rear_gap_m; context.traffic_density,NONE; no legal matching was run,NOT_EVALUABLE,INSUFFICIENT_FOR_RBR_DEVELOPMENT
