domain,task,representation,readout,selected_projection_rank,kernel,bandwidth,bandwidth_reference,n_pairs,raw_statistic,null_mean,null_q95,null_sd,ratio_to_null_q95,standardized_z,p_value,detection,bidirectional_detection,fpr,fpr_gate_upper95_max,evidence_level,execution_status,reason
pure_lateral,LAT.LANE_CHANGE,A_seed3409,R_linear_task,8,RBF,1.2719389774924914,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0008712251598948208,0.0008316173645497698,0.002733583093761501,0.0007775056880634398,0.3187117896226034,0.050942129367186346,0.3043,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,A_seed3409,R_fixed_semantic,NOT_APPLICABLE,RBF,24.373361460452944,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0009266256625847127,0.001021961990225027,0.003227575933530817,0.0009438218115490269,0.2870964716765091,-0.10101093921939104,0.32714,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,B_seed3407,R_full64,NOT_APPLICABLE,RBF,5.370217644953198,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0011743318067907343,0.0012166380068324109,0.0026104409966985556,0.0006973250417191246,0.4498595479751967,-0.06066926829040663,0.41508,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,B_seed3407,R_linear_task,8,RBF,0.21405095765339885,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0007169009632951118,0.0008038468917072125,0.002628702455028158,0.0007508620865673549,0.2727204678200951,-0.11579480435559504,0.41888,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,B_seed3407,R_fixed_semantic,NOT_APPLICABLE,RBF,24.237982370103985,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0008098273917304677,0.0010371475133793004,0.0033171017727784027,0.001005105191228341,0.2441370350395239,-0.22616550350418985,0.32336,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,B_seed3408,R_full64,NOT_APPLICABLE,RBF,6.255727899299371,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0013656105839923798,0.0012730128153365097,0.0027210721878634485,0.0007208259533017338,0.5018648862324524,0.12846064744440353,0.35202,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,B_seed3408,R_linear_task,8,RBF,0.884398094456483,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0018209430259332538,0.0013667113434074915,0.0042168874697937975,0.0011091443147190961,0.4318215838048665,0.4095334362695641,0.2183,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,B_seed3408,R_fixed_semantic,NOT_APPLICABLE,RBF,24.387243209675873,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0010628510643611894,0.001258685350830772,0.003738869984279993,0.0011141391357277258,0.2842706670277186,-0.17577184050865327,0.37016,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,B_seed3409,R_full64,NOT_APPLICABLE,RBF,5.296507076463212,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0010840222958298034,0.0012158823461619727,0.0024549305684616472,0.0006230553173937784,0.4415694316394019,-0.21163457986962692,0.49018,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,B_seed3409,R_linear_task,8,RBF,0.34310855037596577,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0012337165410371415,0.0016579247343014346,0.0031501539835806177,0.0007798317583678553,0.3916369001222091,-0.5439739901746723,0.63816,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
