N_pair,bandwidth,bdd_over_null_q95,dose,exceedance_count,holm_p,holm_significant_0_05,multiplicity_role,null_mean,null_q95,null_reps,null_sd,null_seed,raw_mmd2,raw_p,raw_p_for_multiplicity,representation,status,task,z_bdd,checkpoint_or_scaler_sha256,reference_embedding_sha256,target_embedding_sha256,reference_input_feature_sha256,target_input_feature_sha256,scenario_order_and_task_mask_sha256,cell_json_sha256,paired_null_samples_sha256
80,5.758697798757822,0.26386878021637655,dose50,69962,1.0,False,SECONDARY_HOLM_39,0.0006968582870126598,0.0015789149812648756,100000,0.0004177150821873549,2026082401,0.00041662637017172576,0.6996230037699623,0.6996230037699623,A_seed3407,COMPUTED,LAT.LANE_CHANGE,-0.6708685627856825,353982753f208d27d677c6863a681997b8e28b728573a52fa407807f6fd0298d,b2dff2f067a2a4ba43929cfedc72b44adbf8d9efd10a481e0d031d99eb5a8c59,d51d26f059fd69fdf939c9c2253aa27df77ba4d52edb7bbc89e2df7b105aea5b,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,02b4e28b9c2289502ce20f7928b7c658f79dec8955a7bc78e76f5e63a45190f7,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,f9dd69fe81b448325796fa9e14b80a8e00f7f0e351e5fb2626da81ca4a7a987f,e6e6a65eab5097370b133d7c63548584617c559d0617a6f2a35041352fa8c94d
38,5.458926897146872,0.4480541109883664,dose50,52151,1.0,False,SECONDARY_HOLM_39,0.0011085921957881073,0.0017999179402287163,100000,0.0005371434052719136,2026082402,0.0008064606325611891,0.5215147848521515,0.5215147848521515,A_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,-0.5624784001098788,353982753f208d27d677c6863a681997b8e28b728573a52fa407807f6fd0298d,b2dff2f067a2a4ba43929cfedc72b44adbf8d9efd10a481e0d031d99eb5a8c59,d51d26f059fd69fdf939c9c2253aa27df77ba4d52edb7bbc89e2df7b105aea5b,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,02b4e28b9c2289502ce20f7928b7c658f79dec8955a7bc78e76f5e63a45190f7,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,f442cff1a9425e5d80a7bb3879f1d0c04f2ff359634530f1be1debc8a5a9e9e4,9c3dca677f130fd38015a450f65521a89432fd71876e59baeebcfed516ac5772
80,5.722018068872395,0.5150836779342421,dose75,23439,1.0,False,SECONDARY_HOLM_39,0.0009413810772976492,0.0022852023773045483,100000,0.0005611089641448323,2026082501,0.0011770704453261005,0.23439765602343976,0.23439765602343976,A_seed3407,COMPUTED,LAT.LANE_CHANGE,0.42004206506958547,353982753f208d27d677c6863a681997b8e28b728573a52fa407807f6fd0298d,b2dff2f067a2a4ba43929cfedc72b44adbf8d9efd10a481e0d031d99eb5a8c59,88e8baeeb08bc227b091d346cabf57b8a21e07df7519bb69e934e93b9d5a1f63,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,47850cd1b48a9b337f66e15468d9d4ce6200cb697f9cfb06e48e15def80713f0,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,be51fdc1ca73c9974fe7d9a94aba92d9c6bf60846217ab10dd4bdd04ef196951,9da90e16477496d4dff6612cebd5b53136b7f694569c0421bee638e4c48470c5
38,5.451397066346967,1.0329700080257944,dose75,2531,0.7849121508784912,False,SECONDARY_HOLM_39,0.0022385713592138357,0.004136646528003925,100000,0.0011321171510207306,2026082502,0.004273031797232089,0.025319746802531976,0.025319746802531976,A_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,1.7970405590834477,353982753f208d27d677c6863a681997b8e28b728573a52fa407807f6fd0298d,b2dff2f067a2a4ba43929cfedc72b44adbf8d9efd10a481e0d031d99eb5a8c59,88e8baeeb08bc227b091d346cabf57b8a21e07df7519bb69e934e93b9d5a1f63,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,47850cd1b48a9b337f66e15468d9d4ce6200cb697f9cfb06e48e15def80713f0,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,490a3657128a7a8d1cd1b1a57cfd47aa98c2550e3c2139e8054895195e6fee81,ad8eb4a47a3a3004a70cf6c6b557508bae8afb760ea0c58532cda957072e84c0
80,5.758231847269915,0.4596285043285111,dose100,37816,1.0,False,SECONDARY_HOLM_39,0.0008711789070284403,0.0018737098031791429,100000,0.00046534970198498576,2026082601,0.0008612104343808984,0.3781662183378166,0.3781662183378166,A_seed3407,COMPUTED,LAT.LANE_CHANGE,-0.021421465631160035,353982753f208d27d677c6863a681997b8e28b728573a52fa407807f6fd0298d,b2dff2f067a2a4ba43929cfedc72b44adbf8d9efd10a481e0d031d99eb5a8c59,2dc4db225c4c70588b49407c7f00e2d83e70d3c73e6a89e9c83a66e363d3bf60,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,7a80ab3db564a78925318e9dcde59bb3a0a42f14e4d66276d751c5d727f3ec5f,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,dc6d1a6d7dd9da5f578b24ef479f417a53f20e7db264b526b31fa1938ffd1a66,971e10130fcb18bbcb661551933cb06b9d66052711c7f825484a42fe852b7f45
38,5.556265295938011,1.0275829261853568,dose100,3309,0.9929900700992991,False,SECONDARY_HOLM_39,0.0022597528091638343,0.004851481165426115,100000,0.0013625880485954808,2026082602,0.004985299212301713,0.03309966900330997,0.03309966900330997,A_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,2.0002717666188974,353982753f208d27d677c6863a681997b8e28b728573a52fa407807f6fd0298d,b2dff2f067a2a4ba43929cfedc72b44adbf8d9efd10a481e0d031d99eb5a8c59,2dc4db225c4c70588b49407c7f00e2d83e70d3c73e6a89e9c83a66e363d3bf60,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,7a80ab3db564a78925318e9dcde59bb3a0a42f14e4d66276d751c5d727f3ec5f,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,4a13526c5e36d6a979595604afcb576840aa0214214d64181b459608304ae6ce,c54714768a2fe05d42951b0a76a3289c9a6b68330abac8a09510644d7135ffc9
80,5.6230368499355485,0.371304930077731,dose25,77204,1.0,False,SECONDARY_HOLM_39,0.0004651213113085841,0.0007941216782739623,100000,0.00018619046968187323,2026083301,0.000294861294224724,0.7720422795772043,0.7720422795772043,B_seed3407,COMPUTED,LAT.LANE_CHANGE,-0.9144400214187544,d8e0de6e74ee29076082aabef27a425b47678e1372c630e4f4a04106ff34265f,83cec148fe94fef0b301f33c5e9c469473fa48a26d0baceec7091cb45a498a33,6e478223c16c78815ff2d335b5299d6c03ec40a22dac26e778c9f1c38ad80688,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,884250a46485efbe8887f1f8083db2b0856aa6c568d5b56c68da9193be16b08b,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,c6ebea0939b458798bb9950185ae44ab19daca201845bd2686e37b12b9ddbec7,1e4191b489f6e59d904c0aacb97c7c9e0858ff64cc3ec6f78d7f3dba8d5666c6
38,5.26290566968762,0.9967146279527762,dose25,5149,1.0,False,SECONDARY_HOLM_39,0.0003776568002470367,0.0006777906582717072,100000,0.00015523944037609743,2026083302,0.0006755638637891519,0.05149948500514995,0.05149948500514995,B_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,1.9190166031285476,d8e0de6e74ee29076082aabef27a425b47678e1372c630e4f4a04106ff34265f,83cec148fe94fef0b301f33c5e9c469473fa48a26d0baceec7091cb45a498a33,6e478223c16c78815ff2d335b5299d6c03ec40a22dac26e778c9f1c38ad80688,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,884250a46485efbe8887f1f8083db2b0856aa6c568d5b56c68da9193be16b08b,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,cbe41a11ffdd989b598127306f961cc326c4ddd29c1c823b2aa401e3bbc6cad7,0e9a0a6bba2a589fab6f28c06d1c84ff55e8ba842b0737aefc03ff4f7462e054
80,5.632095540469541,0.2556577158373107,dose50,79918,1.0,False,SECONDARY_HOLM_39,0.0006295558875679735,0.0013219547112363745,100000,0.00035657874940665167,2026083401,0.0003379679219150631,0.7991820081799182,0.7991820081799182,B_seed3407,COMPUTED,LAT.LANE_CHANGE,-0.8177379222348887,d8e0de6e74ee29076082aabef27a425b47678e1372c630e4f4a04106ff34265f,83cec148fe94fef0b301f33c5e9c469473fa48a26d0baceec7091cb45a498a33,183593cec8e456f5a827b67d05b1f4a7afa9e37d938d52e24b9af15cda045529,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,02b4e28b9c2289502ce20f7928b7c658f79dec8955a7bc78e76f5e63a45190f7,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,a8ffd1c87933ad6451a3066fba7b871fb65a937efa1f2402f0178a9b09763e68,0ff6e66c606993caaf321abafbcc04304241952924cadc50bc31a69bf865a284
38,5.3236317501257,0.31203569124595143,dose50,88363,1.0,False,SECONDARY_HOLM_39,0.0009182248857622292,0.001502960682811475,100000,0.00041051689560598806,2026083402,0.00046897737557656576,0.8836311636883631,0.8836311636883631,B_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,-1.094345969664666,d8e0de6e74ee29076082aabef27a425b47678e1372c630e4f4a04106ff34265f,83cec148fe94fef0b301f33c5e9c469473fa48a26d0baceec7091cb45a498a33,183593cec8e456f5a827b67d05b1f4a7afa9e37d938d52e24b9af15cda045529,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,02b4e28b9c2289502ce20f7928b7c658f79dec8955a7bc78e76f5e63a45190f7,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,43e251bd7c2437fccf91162f17727e5a6be812825c98ccbd46041ab7435c9cff,3919e71c88ed9e79702209f76e3029e44883e9dea481ec752d4afb60d7f5ec75
