task_key,task_value,metric,n_A_valid,n_B_valid,mean_A,mean_B,delta_B_minus_A,effect_size
task_following,following,following_mean_thw,2150,621,5.4163694369224125,4.20928404114933,-1.207085395773082,-0.3397268265339393
task_following,following,following_min_thw,2150,621,3.2144590866357783,2.1152022594283073,-1.099256827207471,-0.5877517072226462
task_following,following,following_mean_front_distance,2150,621,24.41629589629323,18.700258858839767,-5.716037037453464,-0.45394214955835566
task_following,following,following_min_front_distance,2150,621,18.238863874951075,12.247689140207717,-5.991174734743359,-0.5670239124535252
task_following,following,following_front_closing_rate_mean,2150,621,7.222722762585033,7.241684110183006,0.018961347597972633,0.0031144530058573486
task_following,following,following_front_closing_rate_p95,2150,621,11.004301652790604,11.73134876852492,0.727047115734317,0.1134419452848746
task_following,following,following_peak_decel,2150,621,2.0282379057231803,3.2989204685645146,1.2706825628413343,0.5873404000688444
task_following,following,following_rms_jerk,2150,621,6.4688990924179715,11.299236534558815,4.830337442140844,0.8205878427917096
task_following,following,following_max_abs_jerk,2150,621,19.78888773206145,36.991066782946746,17.202179050885295,0.9484689671409953
task_following,following,following_late_brake_score,2150,621,1.0457277431671335,3.83045587610844,2.7847281329413067,0.6860593766507961
task_following,following,following_aggressiveness_score,2150,621,2.2067980288508906,3.7759713509229256,1.569173322072035,0.8187827770983439
task_lead_brake_response,lead_brake_response,lead_brake_front_decel_start_time,1548,559,1.49890180878553,1.144901610017889,-0.3540001987676409,-0.20919181865876804
task_lead_brake_response,lead_brake_response,lead_brake_ego_brake_start_time,1311,506,1.300228832951945,1.607114624505929,0.306885791553984,0.15294835834773018
task_lead_brake_response,lead_brake_response,lead_brake_reaction_delay,511,266,2.135420743639922,2.134586466165414,-0.0008342774745080384,-0.0004174653843145641
task_lead_brake_response,lead_brake_response,lead_brake_min_ttc_after_lead_brake,1524,555,3.0291790807145476,1.9336777119486181,-1.0955013687659294,-0.4032800232803664
task_lead_brake_response,lead_brake_response,lead_brake_min_thw_after_lead_brake,1548,559,3.191808831995926,2.121255991643891,-1.0705528403520348,-0.5569066605400169
task_lead_brake_response,lead_brake_response,lead_brake_peak_decel_after_lead_brake,1548,559,1.7414589064865769,3.167442661765507,1.4259837552789303,0.6339366669794331
task_lead_brake_response,lead_brake_response,lead_brake_max_jerk_after_lead_brake,1548,559,19.099820442964294,36.88136307952939,17.7815426365651,0.9681902366807392
task_lead_brake_response,lead_brake_response,lead_brake_speed_drop_after_lead_brake,1548,559,2.296734324022891,0.9297219358222447,-1.3670123882006462,-0.4108755079820214
task_lead_brake_response,lead_brake_response,lead_brake_late_response_score,1548,559,0.6902248201691323,1.28566751233169,0.5954426921625577,0.6413400921169414
task_queue_approach,queue_approach,queue_distance_when_start_decel,1602,539,24.09144054637866,18.03293349128044,-6.058507055098222,-0.5188062653961668
task_queue_approach,queue_approach,queue_time_to_stop,730,173,3.2030136986301367,1.2219653179190753,-1.9810483807110615,-0.751368101306106
task_queue_approach,queue_approach,queue_final_front_gap,1840,606,21.080528180754705,22.40857737961382,1.3280491988591159,0.09983279397935493
task_queue_approach,queue_approach,queue_peak_decel,1840,606,1.971640039096752,3.2623027892543535,1.2906627501576016,0.621840595032031
task_queue_approach,queue_approach,queue_rms_jerk,1840,606,6.132383753000728,11.244705322930846,5.112321569930118,0.9265828139706205
task_queue_approach,queue_approach,queue_stop_smoothness_score,1840,606,-4.05201189604874,-7.253504056092601,-3.201492160043861,-0.8935477236666509
task_queue_approach,queue_approach,queue_creep_after_stop_score,730,173,0.4797718083860104,0.44485945807214633,-0.03491235031386408,-0.140757351205218
task_queue_approach,queue_approach,queue_front_speed_min,1840,606,3.6691847961588127,4.941386322594388,1.2722015264355755,0.2654938212499856
task_queue_approach,queue_approach,queue_front_speed_mean,1840,606,6.004770504588006,7.671437232548117,1.666666727960111,0.33352136002003896
task_queue_approach,queue_approach,queue_front_stopped_ratio,1840,606,0.22480978260869564,0.14212046204620463,-0.08268932056249101,-0.2620357456955071
task_lane_change,lane_change,lc_rms_yaw_rate,448,4068,0.01926144072890815,0.20469281394351446,0.18543137321460632,1.8024131633438296
task_lane_change,lane_change,lc_rms_curvature,448,4068,0.00340245690276917,0.04771699419862976,0.04431453729586059,1.1539408370963717
task_lane_change,lane_change,lc_heading_change_total,448,4068,0.1720994631094592,1.31616949860041,1.1440700354909508,1.2173850451045507
task_lane_change,lane_change,lc_max_lateral_speed,448,4068,0.863194003195635,4.189804684305005,3.3266106811093703,2.725865635149558
task_lane_change,lane_change,lc_rms_lateral_accel,448,4068,0.24367657351062647,1.247613676294242,1.0039371027836155,1.980812674094558
task_lane_change,lane_change,lc_duration,431,3966,2.2415313225058004,4.177660110943016,1.9361287884372156,0.9760987130726404
