task_key,task_value,n_A,n_B,n_A_before_strength_filter,n_B_before_strength_filter,n_positive_before_strength_filter,n_positive_after_strength_filter,detector_strength_filter,bdd_mmd,ci95_low,ci95_high,bootstrap_mean,bootstrap_std,observed_in_bootstrap_ci,mmd_estimator_config,p_value,positive_count_total,positive_ratio_total,event_validity,dominant_detector_strength,detector_strength_counts,interpretation
task_following,following,2150,621,2150,621,43939,43939,all,0.1652892121274223,0.157983226974122,0.17937443453053642,0.16750754450673522,0.0057960243420169776,True,"{""effective_n_A"": 2000, ""effective_n_B"": 621, ""kernel_block_size"": 1024, ""max_mmd_samples_requested"": 2000, ""observed_and_bootstrap_share_initial_subsample"": true}",0.009900990099009901,43939,0.26650532840827074,valid,strong,"{""strong"": 43939}",Task-conditioned BDD is computed within the same behavior-event slice; inspect task-specific metrics below for semantic drift direction.
task_lead_brake_response,lead_brake_response,1548,559,1548,559,34831,34831,all,0.1657980448729801,0.149550847772563,0.17967724629787116,0.1663928244398988,0.008496146984589248,True,"{""effective_n_A"": 1548, ""effective_n_B"": 559, ""kernel_block_size"": 1024, ""max_mmd_samples_requested"": 2000, ""observed_and_bootstrap_share_initial_subsample"": true}",0.009900990099009901,34831,0.21126213827780507,valid,proxy,"{""proxy"": 21350, ""strong"": 13481}",Task-conditioned BDD is computed within the same behavior-event slice; inspect task-specific metrics below for semantic drift direction.
task_queue_approach,queue_approach,1840,606,1840,606,39847,39847,all,0.1770139337198735,0.1644925267783022,0.19284691392750516,0.17920575120613585,0.007046134750928077,True,"{""effective_n_A"": 1840, ""effective_n_B"": 606, ""kernel_block_size"": 1024, ""max_mmd_samples_requested"": 2000, ""observed_and_bootstrap_share_initial_subsample"": true}",0.009900990099009901,39847,0.24168592414675716,valid,proxy,"{""proxy"": 26636, ""strong"": 13211}",Task-conditioned BDD is computed within the same behavior-event slice; inspect task-specific metrics below for semantic drift direction.
task_lane_change,lane_change,448,4068,448,4068,61236,61236,all,0.17812934361796473,0.1645113701475804,0.19289032700581452,0.17865345507782604,0.007495248463642532,True,"{""effective_n_A"": 448, ""effective_n_B"": 2000, ""kernel_block_size"": 1024, ""max_mmd_samples_requested"": 2000, ""observed_and_bootstrap_share_initial_subsample"": true}",0.009900990099009901,61236,0.37141765380206343,valid,strong,"{""strong"": 61236}",Task-conditioned BDD is computed within the same behavior-event slice; inspect task-specific metrics below for semantic drift direction.
task_cutin_response,cutin_response,564,117,564,117,10948,10948,all,0.21952455810399452,0.18659509065535476,0.2575221895238273,0.2245536790304633,0.01964292963484204,True,"{""effective_n_A"": 564, ""effective_n_B"": 117, ""kernel_block_size"": 1024, ""max_mmd_samples_requested"": 2000, ""observed_and_bootstrap_share_initial_subsample"": true}",0.009900990099009901,10948,0.06640343056086273,valid,proxy,"{""proxy"": 10948}",Task-conditioned BDD is computed within the same behavior-event slice; inspect task-specific metrics below for semantic drift direction.
task_hesitation,hesitation,965,1461,965,1461,52549,52549,all,0.10080472750323821,0.09365006675754844,0.11446451874083277,0.10212750396931139,0.005396254885926244,True,"{""effective_n_A"": 965, ""effective_n_B"": 1461, ""kernel_block_size"": 1024, ""max_mmd_samples_requested"": 2000, ""observed_and_bootstrap_share_initial_subsample"": true}",0.009900990099009901,52549,0.31872797520485713,valid,strong,"{""strong"": 52549}",Task-conditioned BDD is computed within the same behavior-event slice; inspect task-specific metrics below for semantic drift direction.
task_yield_conflict,yield_conflict,1514,1144,1514,1144,52543,52543,all,0.14518449972198222,0.13776969250801777,0.15515456022323662,0.14636915941252762,0.0048822850180865515,True,"{""effective_n_A"": 1514, ""effective_n_B"": 1144, ""kernel_block_size"": 1024, ""max_mmd_samples_requested"": 2000, ""observed_and_bootstrap_share_initial_subsample"": true}",0.009900990099009901,52543,0.31869158311649715,valid,strong,"{""strong"": 52543}",Task-conditioned BDD is computed within the same behavior-event slice; inspect task-specific metrics below for semantic drift direction.
