epoch,train_loss,val_loss
1,6.573891765733663,6.316801163693248
2,6.259808543971146,6.234658523769274
3,6.194041043263941,6.179470410979739
4,6.1631017279633244,6.150074945116179
5,6.136736183134425,6.134270758877954
6,6.126654622923214,6.135342517471106
7,6.1068138112718255,6.1209531181913635
8,6.102584934077116,6.107471100993689
9,6.09368706365797,6.123809306166298
10,6.090421965169943,6.104239998653049
11,6.083210477980847,6.101476989073933
12,6.079302763411124,6.088426435842191
13,6.0714476605589045,6.085097776744762
14,6.06998836719805,6.099944161845095
15,6.063211118657112,6.072506824516785
16,6.0624832450466615,6.070295529822384
17,6.057427380453065,6.071404248141496
18,6.053381371590948,6.073207239135146
19,6.04988538307299,6.070246457026483
20,6.0495708649349105,6.063181922936438
