task_key,task_value,metric,n_A_valid,n_B_valid,mean_A,mean_B,delta_B_minus_A,effect_size
task_following,following,following_mean_thw,2125,2149,4.904943274493904,4.991477208924972,0.08653393443106783,0.025239951583587918
task_following,following,following_min_thw,2125,2149,2.676253002054551,2.7545257042460713,0.07827270219152016,0.0436557670289906
task_following,following,following_mean_front_distance,2125,2149,21.59452485733191,21.256337700260016,-0.33818715707189284,-0.02859092978284637
task_following,following,following_min_front_distance,2125,2149,15.60506599558101,15.29186434022434,-0.31320165535666966,-0.031336967818734185
task_following,following,following_front_closing_rate_mean,2125,2149,7.291229755807413,7.254058054716839,-0.03717170109057388,-0.006196142933441428
task_following,following,following_front_closing_rate_p95,2125,2149,11.33403749384914,11.330460075868993,-0.0035774179801464356,-0.0005604691922701845
task_following,following,following_peak_decel,2125,2149,2.4566911288900375,2.465196931735349,0.00850580284531155,0.00367579344763992
task_following,following,following_rms_jerk,2125,2149,8.25020213251576,8.215359756064155,-0.03484237645160526,-0.005476679843219038
task_following,following,following_max_abs_jerk,2125,2149,26.336110462416766,25.99879620297507,-0.3373142594416976,-0.016448691963099005
task_following,following,following_late_brake_score,2125,2149,1.7438748832201325,1.7081187063774343,-0.03575617684269816,-0.009632871188821742
task_following,following,following_aggressiveness_score,2125,2149,2.772484594155365,2.7669507997961578,-0.005533794359207089,-0.0026690654909123416
task_lead_brake_response,lead_brake_response,lead_brake_front_decel_start_time,1677,1710,1.3942754919499105,1.3391228070175438,-0.05515268493236669,-0.03346843247759547
task_lead_brake_response,lead_brake_response,lead_brake_ego_brake_start_time,1447,1480,1.427366966136835,1.4300675675675676,0.0027006014307326964,0.001316219416900161
task_lead_brake_response,lead_brake_response,lead_brake_reaction_delay,661,657,2.0405446293494705,2.1622526636225268,0.12170803427305632,0.06030807163624649
task_lead_brake_response,lead_brake_response,lead_brake_min_ttc_after_lead_brake,1659,1693,2.4248480531530183,2.5161812666801397,0.09133321352712143,0.038005253451349946
task_lead_brake_response,lead_brake_response,lead_brake_min_thw_after_lead_brake,1677,1710,2.6020813148977435,2.7273384815768194,0.12525716667907583,0.06880377001479913
task_lead_brake_response,lead_brake_response,lead_brake_peak_decel_after_lead_brake,1677,1710,2.239832663824234,2.250891566007111,0.011058902182877084,0.0046014174790845975
task_lead_brake_response,lead_brake_response,lead_brake_max_jerk_after_lead_brake,1677,1710,26.367843564777925,26.08962653362379,-0.278217031154135,-0.013369546607112473
task_lead_brake_response,lead_brake_response,lead_brake_speed_drop_after_lead_brake,1677,1710,1.9289373026696675,2.021094612154772,0.09215730948510448,0.026201842870889825
task_lead_brake_response,lead_brake_response,lead_brake_late_response_score,1677,1710,0.866252887885614,0.8811830759281107,0.014930188042496684,0.01605715788741779
task_queue_approach,queue_approach,queue_distance_when_start_decel,1676,1729,21.707437497192466,21.857611332414052,0.15017383522158667,0.012743981896302213
task_queue_approach,queue_approach,queue_time_to_stop,777,783,2.4774774774774775,2.6166028097062584,0.13912533222878087,0.05088528663532023
task_queue_approach,queue_approach,queue_final_front_gap,1920,1968,20.441156423340242,19.98973742975452,-0.45141899358572246,-0.03649248726435501
task_queue_approach,queue_approach,queue_peak_decel,1920,1968,2.4423710568792294,2.4414450385435247,-0.0009260183357047147,-0.00041369180126508287
task_queue_approach,queue_approach,queue_rms_jerk,1920,1968,8.136769364129373,8.126686365971823,-0.010082998157550094,-0.0016513095382677443
task_queue_approach,queue_approach,queue_stop_smoothness_score,1920,1968,-5.2895702105043,-5.284065702257675,0.005504508246624518,0.001391586621195534
task_queue_approach,queue_approach,queue_creep_after_stop_score,777,783,0.4428016961142071,0.450374251343845,0.007572555229637901,0.031198108120174966
task_queue_approach,queue_approach,queue_front_speed_min,1920,1968,3.9382201876110967,3.9204957865557213,-0.017724401055375427,-0.003586452675003498
task_queue_approach,queue_approach,queue_front_speed_mean,1920,1968,6.494035900440985,6.420710283852423,-0.07332561658856207,-0.014335446939847543
task_queue_approach,queue_approach,queue_front_stopped_ratio,1920,1968,0.21393880208333332,0.21128048780487804,-0.0026583142784552816,-0.008397164612743407
task_lane_change,lane_change,lc_rms_yaw_rate,3050,3080,0.14659734157838125,0.1455541797963827,-0.001043161781998564,-0.00858795782516168
task_lane_change,lane_change,lc_rms_curvature,3050,3080,0.03456514188712878,0.03425723146866608,-0.0003079104184627035,-0.007934573795483376
task_lane_change,lane_change,lc_heading_change_total,3050,3080,0.9567396635252864,0.9553331322638302,-0.0014065312614561787,-0.0014720660054509576
task_lane_change,lane_change,lc_max_lateral_speed,3050,3080,3.190657554296054,3.1861484063104664,-0.004509147985587436,-0.002494297495612895
task_lane_change,lane_change,lc_rms_lateral_accel,3050,3080,0.9424300485104783,0.9427468158796075,0.00031676736912922276,0.0005144558687715204
task_lane_change,lane_change,lc_duration,2910,2963,3.683676975945017,3.7375295308808636,0.05385255493584662,0.026446931528569303
task_lane_change,lane_change,lc_oscillation_score,3050,3080,3.4259016393442625,3.325487012987013,-0.1004146263572494,-0.03018211005896077
task_lane_change,lane_change,lc_target_front_gap_min,567,567,12.176197004065942,11.883686249849028,-0.29251075421691475,-0.026214836294989476
task_lane_change,lane_change,lc_target_rear_gap_min,671,694,14.648119551236512,14.398523490607566,-0.2495960606289458,-0.01920830067977116
task_lane_change,lane_change,lc_gap_acceptance_score,1006,1032,0.13590943703041147,0.13930039027470065,0.0033909532442891743,0.036889391691397835
task_lane_change,lane_change,lc_sharpness_score,3050,3080,0.3745308439919962,0.3741860757148853,-0.0003447682771108851,-0.0014323914628930077
task_cutin_response,cutin_response,cutin_gap_initial,509,555,11.57676104665505,11.1163565614202,-0.4604044852348501,-0.07455445188595701
task_cutin_response,cutin_response,cutin_gap_min,509,555,11.151389122477683,10.943365583763466,-0.20802353871421708,-0.04183146915916979
task_cutin_response,cutin_response,cutin_min_ttc,509,555,1.5726979610479066,1.5536818119990934,-0.019016149048813213,-0.02608837568188609
task_cutin_response,cutin_response,cutin_min_thw,509,555,2.624926294948474,2.5902769016252982,-0.03464939332317574,-0.024740061734671272
task_cutin_response,cutin_response,cutin_reaction_delay_to_brake,26,25,1.580769230769231,0.8600000000000001,-0.7207692307692308,-0.5575082622049236
task_cutin_response,cutin_response,cutin_peak_decel_after_cutin,509,555,1.04341967423305,0.882786046712472,-0.16063362752057797,-0.1358034557296645
task_cutin_response,cutin_response,cutin_jerk_after_cutin,509,555,4.981145241692306,4.412242137005343,-0.5689031046869628,-0.10563581495795892
task_cutin_response,cutin_response,cutin_speed_drop_after_cutin,509,555,0.28973564775245897,0.1949430590271656,-0.09479258872529336,-0.0906833338505504
task_cutin_response,cutin_response,cutin_yielding_response_score,509,555,3.818025324288597,3.6436125915108266,-0.17441273277777025,-0.08068156784650357
task_cutin_response,cutin_response,cutin_late_response_score,26,25,1.580769230769231,0.8600000000000001,-0.7207692307692308,-0.5575082622049236
task_overtake_opportunity,overtake_opportunity,overtake_opportunity_score,383,405,3.3019680418884274,3.2942672401277604,-0.007700801760667009,-0.003947039732428243
task_overtake_opportunity,overtake_opportunity,overtake_execution_score,383,405,1.8114837710304386,1.7962939052681333,-0.015189865762305299,-0.009523518801905568
task_overtake_opportunity,overtake_opportunity,overtake_execution_rate_proxy,383,405,0.2689295039164491,0.22469135802469137,-0.04423814589175773,-0.10269516309598989
task_overtake_opportunity,overtake_opportunity,overtake_time_to_initiate,359,384,0.8729805013927576,1.0213541666666666,0.14837366527390894,0.08970624658639481
task_overtake_opportunity,overtake_opportunity,overtake_peak_accel,383,405,2.469076262023446,2.4781636434759746,0.009087381452528742,0.004260113339155761
task_overtake_opportunity,overtake_opportunity,overtake_peak_decel,383,405,2.642132643917559,2.625941806414736,-0.01619083750282302,-0.006307975729733996
task_overtake_opportunity,overtake_opportunity,overtake_max_abs_jerk,383,405,27.586616772610377,27.541142514188596,-0.045474258421780434,-0.002120505546214214
task_overtake_opportunity,overtake_opportunity,overtake_min_front_gap_before,383,405,15.572265189559278,15.233985758416447,-0.33827943114283165,-0.044769148582742536
task_overtake_opportunity,overtake_opportunity,overtake_target_lane_front_gap,291,316,20.406908815259378,21.028791291804254,0.6218824765448758,0.051407067028304276
task_overtake_opportunity,overtake_opportunity,overtake_target_lane_rear_gap,138,138,18.489879069120988,16.80254242385643,-1.6873366452645584,-0.1569587865417269
task_hesitation,hesitation,hesitation_score,2629,2566,10.711297071129707,10.572837100545595,-0.13845997058411186,-0.020896441189210153
task_hesitation,hesitation,hesitation_lc_duration,858,852,3.2703962703962706,3.3352112676056342,0.06481499720936368,0.028789986221125895
task_hesitation,hesitation,hesitation_yaw_sign_change_count,2629,2566,14.638265500190187,14.612626656274356,-0.025638843915830378,-0.0030363996141608727
task_hesitation,hesitation,hesitation_lateral_velocity_sign_change_count,2629,2566,7.110688474705211,6.857755261106781,-0.25293321359843013,-0.0376467141017987
task_hesitation,hesitation,hesitation_lc_oscillation_score,2629,2566,10.874476987447698,10.73519095869057,-0.13928602875712848,-0.020826242067526472
task_hesitation,hesitation,hesitation_abort_like_score,2629,2566,0.26740205401293266,0.25915822291504287,-0.008243831097889787,-0.018714479785159787
task_hesitation,hesitation,hesitation_speed_drop,2629,2566,3.232585810542829,3.1632678991669656,-0.06931791137586352,-0.01771705173287935
task_hesitation,hesitation,hesitation_evidence_count,2629,2566,2.2415367059718525,2.2462977396726425,0.004761033700789952,0.010849712493446153
task_yield_conflict,yield_conflict,yield_conflict_score,2623,2572,4.991274269979337,5.003684579620333,0.012410309640995543,0.0046061519896499255
task_yield_conflict,yield_conflict,yielding_score,2623,2572,2.532577888779285,2.486530076331716,-0.04604781244756895,-0.017717134871300617
task_yield_conflict,yield_conflict,assertiveness_score,2623,2572,1.9115070177504587,1.8632208894745461,-0.04828612827591261,-0.029382227411643307
task_yield_conflict,yield_conflict,gap_pressure_score,2623,2572,0.22425018742706454,0.22621942324937863,0.0019692358223140916,0.02155934004237432
task_yield_conflict,yield_conflict,conflict_accel_score,2623,2572,2.466274378671963,2.3596981175247476,-0.10657626114721541,-0.05429637580446073
task_yield_conflict,yield_conflict,small_gap_speed_maintain_score,2623,2572,7.644567213334589,7.632051468036981,-0.012515745297608127,-0.0022663062432355637
task_yield_conflict,yield_conflict,rear_pressure_response_score,1715,1684,11.623538267440964,11.704476992272152,0.08093872483118858,0.011420993578860075
task_yield_conflict,yield_conflict,courtesy_score,2623,2572,1.613635196710502,1.5822802431380176,-0.03135495357248441,-0.018094541608406466
